CaseID,StartTimestamp,Activity,People
3348,2021-04-01 16:25:42,CreateBranch,tacigar
3348,2021-04-01 16:51:35,OpenPR,tacigar
3349,2021-04-02 10:33:06,CreateBranch,tacigar
3349,2021-04-02 10:43:00,OpenPR,tacigar
3350,2021-04-03 14:48:29,CreateBranch,tacigar
3350,2021-04-03 14:50:09,OpenPR,tacigar
3351,2021-04-08 14:30:18,CreateBranch,minwoox
3351,2021-04-08 14:30:33,OpenPR,minwoox
3367,2021-08-14 20:04:43,ForkRepository,VY8
3367,2021-08-14 20:09:49,CreateBranch,VY8
3367,2021-08-14 20:16:37,OpenPR,VY8
3367,2021-12-12 12:56:48,PRReviewComment,jcchavezs
3367,2021-12-12 12:56:48,PRReviewComment,jcchavezs
3367,2021-12-12 13:33:31,PRReviewComment,vy8
3367,2021-12-12 13:33:31,PRReviewComment,vy8
3368,2021-08-23 14:23:05,ForkRepository,zhfeng
3368,2021-08-23 14:36:26,CreateBranch,zhfeng
3368,2021-08-23 14:36:36,OpenPR,zhfeng
3368,2021-12-03 09:05:57,ClosePR,jcchavezs
3413,2021-12-20 17:04:28,ForkRepository,TheAschr
3413,2021-12-20 17:18:17,OpenPR,TheAschr
3434,2021-09-08 07:56:50,ForkRepository,equinix-ms
3434,2022-03-11 08:07:54,CreateBranch,jonkerj
3434,2022-03-11 08:08:26,OpenPR,jonkerj
3437,2022-03-25 08:16:11,ForkRepository,weishaofei
3437,2022-03-25 08:20:21,CreateBranch,weishaofei
3437,2022-03-25 08:24:38,OpenPR,weishaofei
3437,2022-03-25 13:23:09,PRReviewApprove,llinder
3438,2022-03-28 17:49:55,SubmitCommit,KhungLongCuBu
3438,2022-03-28 17:50:59,OpenPR,KhungLongCuBu
3438,2022-03-28 18:08:09,ClosePR,KhungLongCuBu
3439,2022-03-28 18:09:39,CreateBranch,KhungLongCuBu
3439,2022-06-29 15:43:14,DeleteBranch,KhungLongCuBu
3439,2022-03-28 18:13:13,OpenPR,KhungLongCuBu
3439,2022-06-29 15:43:08,ClosePR,KhungLongCuBu
3442,2022-04-04 20:23:46,OpenPR,chenboy3
3446,2022-05-10 07:07:27,ForkRepository,Filippo125
3446,2022-05-10 07:57:57,CreateBranch,Filippo125
3446,2022-05-10 08:05:04,OpenPR,Filippo125
3446,2022-05-11 09:55:07,PRReviewComment,jcchavezs
3446,2022-05-11 09:55:07,PRReviewComment,jcchavezs
3449,2022-05-18 03:01:44,ForkRepository,rswst8
3449,2022-05-18 03:21:26,SubmitCommit,rswst8
3449,2022-05-18 21:00:55,SubmitCommit,rswst8
3449,2022-05-27 00:10:03,SubmitCommit,rswst8
3449,2022-05-18 03:27:02,OpenPR,rswst8
3449,2022-06-30 14:19:33,ClosePR,llinder
3457,2022-05-31 18:47:33,ForkRepository,priyavivek2307
3457,2022-06-17 16:25:20,OpenPR,priyavivek2307
3457,2022-06-20 05:15:44,PRReviewComment,jcchavezs
3457,2022-06-20 05:15:43,PRReviewComment,jcchavezs
3457,2022-06-20 19:29:05,PRReviewComment,priyavivek2307
3457,2022-06-20 19:29:04,PRReviewComment,priyavivek2307
3459,2022-06-20 13:17:48,ForkRepository,gdimitrov7
3459,2022-06-20 13:23:28,CreateBranch,gdimitrov7
3459,2022-06-27 21:13:03,DeleteBranch,gdimitrov7
3459,2022-06-21 09:02:18,PRReviewApprove,basvanbeek
3460,2022-06-20 16:39:34,ForkRepository,dwelch2344
3460,2022-06-21 05:51:01,OpenPR,dwelch2344
